Unnamed: 0;Id;Visitor;Income
;16;95;1444.3771247075904
;10;54;1045.4256004358597
;101;11;1987.8462925794959
;133;83;1319.376962862739
;69;25;753.6163602504763
;96;78;1265.3648505186788
;160;26;766.5655360863383
;163;44;951.5859557900741
;148;59;1076.7954338691573
;183;71;1199.291075019389
;192;32;828.5639879432347
;165;69;1199.6337612924433
;66;73;1243.5624002857082
;176;72;1228.2718324903603
;74;89;1405.64643655814
;153;10;593.1997527842151
;19;10;590.9197592447879
;83;14;654.7789404474152
;87;17;679.1540211770207
;144;64;1141.846338585323
;61;61;2208.208257621547
;102;25;745.7935467723464
;99;87;1370.0511345664247
;31;61;1103.982933877706
;26;18;681.1092258970987
;17;79;1279.8716887966557
;169;71;1207.5461188399713
;196;29;793.8531737972884
;98;64;1142.610552721799
;195;35;851.7318092585118
;68;59;1100.0353289789202
;121;51;2827.9103194704303
;155;53;1032.9307247329868
;132;55;1050.6856297480604
;80;23;710.1243108539911
;70;35;843.5488024539487
;146;37;877.8182287177731
;56;36;869.312801191162
;46;92;1412.8015579160528
;85;51;1001.9150639710681
;147;72;1207.630492891219
;67;59;1089.2798987841966
;112;12;619.7348612455079
;154;82;1322.3225369716101
;97;84;1342.9612027706457
;39;37;856.7181395110157
;25;36;854.5561727547482
;140;52;1007.6913568356605
;113;26;760.6023020994103
;30;95;1447.0830625020672
;20;86;1345.8769629866472
;179;70;1197.3534316676205
;91;60;1100.9707754934805
;174;88;1383.4115197481665
;94;79;1286.7233785340222
;6;89;1387.658630430508
;168;12;638.9679298265395
;57;47;961.6078247677736
;129;13;630.9965136508764
;77;33;830.8704706823817
;145;49;992.5988279424843
;105;77;1268.38714288334
;178;26;774.5353407715731
;76;24;748.2190250437523
;175;84;1342.7669079933003
;32;67;1188.5227818450894
;13;68;1182.4196227156604
;36;50;987.7915635002897
;126;88;1401.9045562580998
;43;53;1028.8435171761175
;157;30;818.6577451114475
;137;24;732.1674670766376
;141;96;2707.274599346041
;52;82;1316.1491771958367
;114;57;1094.632421124853
;167;47;978.2206015999449
;42;43;931.7136828118997
;125;49;995.8685709380027
;79;38;880.917607765355
;120;70;1207.5193303268677
;27;10;588.490064225777
;138;49;986.7793848379432
;161;90;2565.2531832977265
;118;34;828.3132196238047
;3;45;956.4768853810069
;78;66;1157.0099264953412
;47;73;1225.3936122904022
;123;86;1374.027943109361
;128;53;1024.3370227039723
;86;49;984.9824295641546
;139;32;828.1351721736967
;37;85;1352.0886359500475
;115;78;1278.0763903521888
;62;27;768.1434102333618
;23;52;1020.6752820468793
;136;73;1245.4993440501753
;193;95;1452.140937441302
;34;29;779.422890710441
;12;33;825.3427024642974
;200;54;1028.5702970216937
;164;84;1331.7931768164829
;7;87;1385.792128155074
;28;13;633.7569801834567
;127;69;1180.0946367486931
;197;42;911.1614256379887
;142;94;1453.0714275428243
;5;26;757.6584662527666
;33;24;739.8650277526207
;110;66;1159.2555408423384
;188;83;1329.2717108734312
;116;25;753.0154734233362
;149;60;1105.219415656169
;11;38;875.3658230718754
;63;28;768.9366502599397
;119;26;771.4282281451502
;151;64;1142.5049285034588
;171;95;1441.1048557037448
;1;18;2069.9671415301123
;185;22;717.7653721467415
;184;80;1304.8247241524318
;71;69;1193.6139560550841
;45;70;1185.2147800963257
;65;40;908.125258223942
;45;70;1185.2147800963257
;166;19;694.127809269365
;29;27;763.9936131008119
;41;14;2431.384665799954
;109;98;1482.5755039072276
;124;65;1135.9814893720772
;24;84;1325.7525181378655
;156;15;642.8564858197363
;190;44;924.8515277531413
;82;12;623.5711257151174
;40;49;991.9686123586912
;173;74;1239.2289829058589
;48;33;840.5712222621892
;95;79;1286.0789184686785
;159;31;798.0869650279735
;44;48;976.9889630441071
;143;86;1343.9251676543877
;4;62;1135.2302985640802
;106;46;964.0405085681454
;54;53;1036.1167628884086
;134;36;864.7359243063518
;186;62;1127.140004940921
;162;51;1017.8708460374245
;191;42;915.5348504793297
;50;22;702.3695984463726
;81;76;3185.803281121625
;35;18;688.2254491210319
;8;34;847.6743472915291
;111;36;840.8122878470095
;92;32;829.6864499053289
;84;62;1114.8172978172636
;182;90;1391.428424435837
;187;81;1314.7323762457354
;90;33;835.1326743311336
;9;44;935.3052561406505
;14;95;1430.867197553422
;60;90;1409.7554512712236
;177;81;1310.1300189187791
;132;55;1050.6856297480604
;18;41;913.1424733259528
;73;76;1259.6417396089005
;181;16;1704.25667347765
;135;86;1350.805757657662
;172;61;1101.8418971503456
;199;35;850.58208718446
;64;71;1198.0379337591933
;55;44;950.3099952249595
;108;32;821.7457781283184
;51;96;1463.240839693948
;71;69;1193.6139560550841
;170;43;922.4626383564251
;59;84;1343.3126343140357
;49;45;953.4361828956846
;89;86;1354.7023979623295
;22;55;1047.7422369951346
;58;43;926.9078762414879
;161;90;2565.2531832977265
;198;66;1161.5372510594552
;130;39;884.965243458838
;38;43;910.4032987612022
;158;62;1124.7383292091179
;194;99;1477.5426122128802
;2;16;658.6173569882882
;53;87;1363.2307799969403
;150;84;1342.969846732332
;131;25;734.4933656893387
;152;24;743.4644820949698
;104;75;1241.9772273077838
;100;47;967.6541286662485
;117;94;1439.6528823029475
;88;84;1343.2875110965967
;75;36;833.8025489591025
;122;75;1240.9061254520527
;59;84;1343.3126343140357
;21;18;2679.6564876892153
;189;66;1151.532062819316
;72;29;805.3803656646597
;107;74;1258.8618590121052
;15;89;1372.7508216748697
;93;85;1342.9794690612264
;180;76;1287.201691665896
;103;96;1456.5728548347322
